"Assay_Type"	"AvgSpotLen"	"BioSample"	"BioSampleModel"	"DATASTORE_filetype"	"DATASTORE_provider"	"DATASTORE_region"	"Experiment"	"Instrument"	"LibraryLayout"	"LibrarySelection"	"Library_Name"	"LoadDate"	"MBases"	"MBytes"	"ReleaseDate"	"Run"	"SRA_Sample"	"Sample_Name"	"rural_urban_status"	"sequencing_type"	"subject_id"	"timepoint"	"BioProject"	"Center_Name"	"Consent"	"InsertSize"	"LibrarySource"	"Organism"	"Platform"	"SRA_Study"	"collection_date"	"env_biome"	"env_feature"	"env_material"	"geo_loc_name"	"host"	"lat_lon"
"AMPLICON"	500	"SAMN05935694"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265382"	"Illumina MiSeq"	"PAIRED"	"PCR"	"119A"	"2016-10-24"	52	36	"2017-11-07"	"SRR4446542"	"SRS1757096"	"119A"	"urban"	"16S rRNA sequencing"	119	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935695"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265383"	"Illumina MiSeq"	"PAIRED"	"PCR"	"119B"	"2016-10-24"	57	39	"2017-11-07"	"SRR4446543"	"SRS1757097"	"119B"	"urban"	"16S rRNA sequencing"	119	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935688"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265384"	"Illumina MiSeq"	"PAIRED"	"PCR"	"109A"	"2016-10-24"	33	20	"2017-11-07"	"SRR4446544"	"SRS1757098"	"109A"	"urban"	"16S rRNA sequencing"	109	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935689"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265385"	"Illumina MiSeq"	"PAIRED"	"PCR"	"109B"	"2016-10-24"	52	35	"2017-11-07"	"SRR4446545"	"SRS1757099"	"109B"	"urban"	"16S rRNA sequencing"	109	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935690"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265386"	"Illumina MiSeq"	"PAIRED"	"PCR"	"116A"	"2016-10-24"	55	35	"2017-11-07"	"SRR4446546"	"SRS1757100"	"116A"	"urban"	"16S rRNA sequencing"	116	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935691"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265387"	"Illumina MiSeq"	"PAIRED"	"PCR"	"116B"	"2016-10-24"	41	28	"2017-11-07"	"SRR4446547"	"SRS1757101"	"116B"	"urban"	"16S rRNA sequencing"	116	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935674"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265388"	"Illumina MiSeq"	"PAIRED"	"PCR"	"094A"	"2016-10-24"	34	24	"2017-11-07"	"SRR4446548"	"SRS1757102"	"094A"	"urban"	"16S rRNA sequencing"	94	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935675"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265389"	"Illumina MiSeq"	"PAIRED"	"PCR"	"094B"	"2016-10-24"	46	31	"2017-11-07"	"SRR4446549"	"SRS1757103"	"094B"	"urban"	"16S rRNA sequencing"	94	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935672"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265390"	"Illumina MiSeq"	"PAIRED"	"PCR"	"093A"	"2016-10-24"	36	23	"2017-11-07"	"SRR4446550"	"SRS1757104"	"093A"	"urban"	"16S rRNA sequencing"	93	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935673"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265391"	"Illumina MiSeq"	"PAIRED"	"PCR"	"093B"	"2016-10-24"	56	39	"2017-11-07"	"SRR4446551"	"SRS1757107"	"093B"	"urban"	"16S rRNA sequencing"	93	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935670"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265392"	"Illumina MiSeq"	"PAIRED"	"PCR"	"091A"	"2016-10-24"	38	22	"2017-11-07"	"SRR4446552"	"SRS1757105"	"091A"	"urban"	"16S rRNA sequencing"	91	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935671"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265393"	"Illumina MiSeq"	"PAIRED"	"PCR"	"091B"	"2016-10-24"	56	36	"2017-11-07"	"SRR4446553"	"SRS1757106"	"091B"	"urban"	"16S rRNA sequencing"	91	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935668"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265394"	"Illumina MiSeq"	"PAIRED"	"PCR"	"086A"	"2016-10-24"	48	33	"2017-11-07"	"SRR4446554"	"SRS1757108"	"086A"	"urban"	"16S rRNA sequencing"	86	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935669"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265395"	"Illumina MiSeq"	"PAIRED"	"PCR"	"086B"	"2016-10-24"	83	56	"2017-11-07"	"SRR4446555"	"SRS1757109"	"086B"	"urban"	"16S rRNA sequencing"	86	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935635"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265396"	"Illumina MiSeq"	"PAIRED"	"PCR"	"018B"	"2016-10-24"	58	39	"2017-11-07"	"SRR4446556"	"SRS1757110"	"018B"	"rural"	"16S rRNA sequencing"	18	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935652"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265397"	"Illumina MiSeq"	"PAIRED"	"PCR"	"035A"	"2016-10-24"	28	17	"2017-11-07"	"SRR4446557"	"SRS1757111"	"035A"	"rural"	"16S rRNA sequencing"	35	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935636"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265398"	"Illumina MiSeq"	"PAIRED"	"PCR"	"020A"	"2016-10-24"	47	28	"2017-11-07"	"SRR4446558"	"SRS1757112"	"020A"	"rural"	"16S rRNA sequencing"	20	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935676"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265399"	"Illumina MiSeq"	"PAIRED"	"PCR"	"098A"	"2016-10-24"	91	63	"2017-11-07"	"SRR4446559"	"SRS1757113"	"098A"	"urban"	"16S rRNA sequencing"	98	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935677"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265400"	"Illumina MiSeq"	"PAIRED"	"PCR"	"098B"	"2016-10-24"	55	36	"2017-11-07"	"SRR4446560"	"SRS1757114"	"098B"	"urban"	"16S rRNA sequencing"	98	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935631"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265401"	"Illumina MiSeq"	"PAIRED"	"PCR"	"013B"	"2016-10-24"	57	38	"2017-11-07"	"SRR4446561"	"SRS1757115"	"013B"	"rural"	"16S rRNA sequencing"	13	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935629"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265402"	"Illumina MiSeq"	"PAIRED"	"PCR"	"011B"	"2016-10-24"	53	36	"2017-11-07"	"SRR4446562"	"SRS1757116"	"011B"	"rural"	"16S rRNA sequencing"	11	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935627"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265403"	"Illumina MiSeq"	"PAIRED"	"PCR"	"010B"	"2016-10-24"	55	35	"2017-11-07"	"SRR4446563"	"SRS1757117"	"010B"	"rural"	"16S rRNA sequencing"	10	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935620"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265404"	"Illumina MiSeq"	"PAIRED"	"PCR"	"003A"	"2016-10-24"	85	59	"2017-11-07"	"SRR4446564"	"SRS1757118"	"003A"	"rural"	"16S rRNA sequencing"	3	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935633"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265405"	"Illumina MiSeq"	"PAIRED"	"PCR"	"015B"	"2016-10-24"	60	39	"2017-11-07"	"SRR4446565"	"SRS1757119"	"015B"	"rural"	"16S rRNA sequencing"	15	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935656"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265406"	"Illumina MiSeq"	"PAIRED"	"PCR"	"039A"	"2016-10-24"	35	21	"2017-11-07"	"SRR4446566"	"SRS1757120"	"039A"	"rural"	"16S rRNA sequencing"	39	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935621"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265407"	"Illumina MiSeq"	"PAIRED"	"PCR"	"003B"	"2016-10-24"	59	40	"2017-11-07"	"SRR4446567"	"SRS1757121"	"003B"	"rural"	"16S rRNA sequencing"	3	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935632"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265408"	"Illumina MiSeq"	"PAIRED"	"PCR"	"015A"	"2016-10-24"	76	53	"2017-11-07"	"SRR4446568"	"SRS1757122"	"015A"	"rural"	"16S rRNA sequencing"	15	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935657"	"MIMARKS.survey"	"contigs sra"	"ncbi"	""	"SRX2265409"	"Illumina MiSeq"	"PAIRED"	"PCR"	"039B"	"2016-10-24"	44	29	"2017-11-07"	"SRR4446569"	"SRS1757123"	"039B"	"rural"	"16S rRNA sequencing"	39	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935628"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265410"	"Illumina MiSeq"	"PAIRED"	"PCR"	"011A"	"2016-10-24"	37	23	"2017-11-07"	"SRR4446570"	"SRS1757124"	"011A"	"rural"	"16S rRNA sequencing"	11	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935645"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265411"	"Illumina MiSeq"	"PAIRED"	"PCR"	"028B"	"2016-10-24"	36	24	"2017-11-07"	"SRR4446571"	"SRS1757125"	"028B"	"rural"	"16S rRNA sequencing"	28	"second"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
"AMPLICON"	500	"SAMN05935644"	"MIMARKS.survey"	"contigs sra"	"ncbi sra-sos"	"sra-sos.public"	"SRX2265412"	"Illumina MiSeq"	"PAIRED"	"PCR"	"028A"	"2016-10-24"	38	26	"2017-11-07"	"SRR4446572"	"SRS1757126"	"028A"	"rural"	"16S rRNA sequencing"	28	"first"	"PRJNA349463"	"UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE"	"public"	0	"METAGENOMIC"	"human gut metagenome"	"ILLUMINA"	"SRP091971"	"2014-09-25"	"terrestrial biome"	"national geopolitical entity"	"biological product"	"China:Hunan province"	"Homo sapiens"	"27.4 N 111.8 E"
