"Run"	"Alias"	"ADEversusAGR"	"SoilversusRhiz"	"Assay.Type"	"AvgSpotLen"	"Bases"	"BioProject"	"BioSample"	"Bytes"	"Center.Name"	"Collection_Date"	"Consent"	"DATASTORE.filetype"	"DATASTORE.provider"	"DATASTORE.region"	"Depth"	"Description"	"ENA_CHECKLIST"	"ENA.FIRST.PUBLIC..run."	"ENA.LAST.UPDATE..run."	"environment_.biome."	"environment_.feature."	"environment_.material."	"Experiment"	"geographic_location_.country_and.or_sea."	"geographic_location_.elevation."	"geographic_location_.latitude."	"geographic_location_.longitude."	"INSDC_center_name"	"INSDC_first_public"	"INSDC_last_update"	"INSDC_status"	"Instrument"	"investigation_type"	"Library.Name"	"LibraryLayout"	"LibrarySelection"	"LibrarySource"	"Organism"	"Platform"	"project_name"	"ReleaseDate"	"Sample.Name"	"sample_name"	"sequencing_method"	"soil_environmental_package"	"SRA_accession"	"SRA.Study"	"title"
"ERR1456800"	"RTP11"	"ADE"	"Rhiz"	"AMPLICON"	600	168140049	"PRJEB14409"	"SAMEA4033217"	127597651	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP11"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527278"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033217"	"ERS1204327"	"Illumina"	"soil"	"ERS1204327"	"ERP016051"	"RTP11"
"ERR1456801"	"RTP12"	"ADE"	"Rhiz"	"AMPLICON"	600	125124284	"PRJEB14409"	"SAMEA4033218"	96023176	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP12"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527279"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033218"	"ERS1204328"	"Illumina"	"soil"	"ERS1204328"	"ERP016051"	"RTP12"
"ERR1456802"	"RTP13"	"ADE"	"Rhiz"	"AMPLICON"	600	179943954	"PRJEB14409"	"SAMEA4033219"	136807731	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP13"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527280"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033219"	"ERS1204329"	"Illumina"	"soil"	"ERS1204329"	"ERP016051"	"RTP13"
"ERR1456803"	"RTP14"	"ADE"	"Rhiz"	"AMPLICON"	600	178463750	"PRJEB14409"	"SAMEA4033220"	135929419	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP14"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527281"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033220"	"ERS1204330"	"Illumina"	"soil"	"ERS1204330"	"ERP016051"	"RTP14"
"ERR1456804"	"RTP15"	"ADE"	"Rhiz"	"AMPLICON"	600	170711800	"PRJEB14409"	"SAMEA4033221"	129447915	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP15"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527282"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033221"	"ERS1204331"	"Illumina"	"soil"	"ERS1204331"	"ERP016051"	"RTP15"
"ERR1456805"	"RTP16"	"ADE"	"Rhiz"	"AMPLICON"	600	146442413	"PRJEB14409"	"SAMEA4033222"	112635258	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RTP16"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"rhizosphere"	"ERX1527283"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033222"	"ERS1204332"	"Illumina"	"soil"	"ERS1204332"	"ERP016051"	"RTP16"
"ERR1456806"	"BulkTP1"	"ADE"	"Soil"	"AMPLICON"	600	160700833	"PRJEB14409"	"SAMEA4033223"	121412329	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"BulkTP1"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"bulk soil"	"ERX1527284"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033223"	"ERS1204333"	"Illumina"	"soil"	"ERS1204333"	"ERP016051"	"BulkTP1"
"ERR1456807"	"BulkTP2"	"ADE"	"Soil"	"AMPLICON"	600	165680466	"PRJEB14409"	"SAMEA4033224"	125427727	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"BulkTP2"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"bulk soil"	"ERX1527285"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033224"	"ERS1204334"	"Illumina"	"soil"	"ERS1204334"	"ERP016051"	"BulkTP2"
"ERR1456808"	"BulkTP3"	"ADE"	"Soil"	"AMPLICON"	600	138175445	"PRJEB14409"	"SAMEA4033225"	104449071	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"BulkTP3"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"bulk soil"	"ERX1527286"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033225"	"ERS1204335"	"Illumina"	"soil"	"ERS1204335"	"ERP016051"	"BulkTP3"
"ERR1456809"	"BulkTP4"	"ADE"	"Soil"	"AMPLICON"	600	109196690	"PRJEB14409"	"SAMEA4033226"	83616239	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"BulkTP4"	"ERC000022"	"7/30/16"	"11/16/18"	"Tropical and subtropical moist broadleaf forest biome"	"forest"	"bulk soil"	"ERX1527287"	"Brazil"	500	-3.266666667	-60.2	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033226"	"ERS1204336"	"Illumina"	"soil"	"ERS1204336"	"ERP016051"	"BulkTP4"
"ERR1456810"	"RAG1"	"AGR"	"Rhiz"	"AMPLICON"	600	180637085	"PRJEB14409"	"SAMEA4033227"	136251835	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RAG1"	"ERC000022"	"7/30/16"	"11/16/18"	"terrestrial biome"	"agriculture"	"rhizosphere"	"ERX1527288"	"Brazil"	500	-22.66666667	-48.16666667	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033227"	"ERS1204337"	"Illumina"	"soil"	"ERS1204337"	"ERP016051"	"RAG1"
"ERR1456811"	"RAG2"	"AGR"	"Rhiz"	"AMPLICON"	600	176555929	"PRJEB14409"	"SAMEA4033228"	133922655	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RAG2"	"ERC000022"	"7/30/16"	"11/16/18"	"terrestrial biome"	"agriculture"	"rhizosphere"	"ERX1527289"	"Brazil"	500	-22.66666667	-48.16666667	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033228"	"ERS1204338"	"Illumina"	"soil"	"ERS1204338"	"ERP016051"	"RAG2"
"ERR1456812"	"RAG3"	"AGR"	"Rhiz"	"AMPLICON"	600	177528476	"PRJEB14409"	"SAMEA4033229"	133751546	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RAG3"	"ERC000022"	"7/30/16"	"11/16/18"	"terrestrial biome"	"agriculture"	"rhizosphere"	"ERX1527290"	"Brazil"	500	-22.66666667	-48.16666667	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033229"	"ERS1204339"	"Illumina"	"soil"	"ERS1204339"	"ERP016051"	"RAG3"
"ERR1456813"	"RAG4"	"AGR"	"Rhiz"	"AMPLICON"	600	187713660	"PRJEB14409"	"SAMEA4033230"	143474526	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RAG4"	"ERC000022"	"7/30/16"	"11/16/18"	"terrestrial biome"	"agriculture"	"rhizosphere"	"ERX1527291"	"Brazil"	500	-22.66666667	-48.16666667	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033230"	"ERS1204340"	"Illumina"	"soil"	"ERS1204340"	"ERP016051"	"RAG4"
"ERR1456814"	"RAG5"	"AGR"	"Rhiz"	"AMPLICON"	600	136721551	"PRJEB14409"	"SAMEA4033231"	103598332	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RAG5"	"ERC000022"	"7/30/16"	"11/16/18"	"terrestrial biome"	"agriculture"	"rhizosphere"	"ERX1527292"	"Brazil"	500	-22.66666667	-48.16666667	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033231"	"ERS1204341"	"Illumina"	"soil"	"ERS1204341"	"ERP016051"	"RAG5"
"ERR1456815"	"RAG6"	"AGR"	"Rhiz"	"AMPLICON"	601	237838857	"PRJEB14409"	"SAMEA4033232"	179454478	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RAG6"	"ERC000022"	"7/30/16"	"11/16/18"	"terrestrial biome"	"agriculture"	"rhizosphere"	"ERX1527293"	"Brazil"	500	-22.66666667	-48.16666667	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033232"	"ERS1204342"	"Illumina"	"soil"	"ERS1204342"	"ERP016051"	"RAG6"
"ERR1456816"	"RAG7"	"AGR"	"Rhiz"	"AMPLICON"	600	179764854	"PRJEB14409"	"SAMEA4033233"	136395966	"NETHERLANDS INSTITUTE OF ECOLOGY (NIOO-KNAW)"	"11/13/14"	"public"	"fastq,sra"	"ena,gs,ncbi,s3"	"ena,gs.US,ncbi.public,s3.us-east-1"	0.2	"RAG7"	"ERC000022"	"7/30/16"	"11/16/18"	"terrestrial biome"	"agriculture"	"rhizosphere"	"ERX1527294"	"Brazil"	500	-22.66666667	-48.16666667	"NIOO-KNAW"	"2016-07-30T17:01:24Z"	"2016-10-21T09:34:39Z"	"public"	"Illumina MiSeq"	"mimarks-survey"	"unspecified"	"PAIRED"	"PCR"	"GENOMIC"	"metagenome"	"ILLUMINA"	"Common bean rhizosphere microbiome"	"2016-07-31T00:00:00Z"	"SAMEA4033233"	"ERS1204343"	"Illumina"	"soil"	"ERS1204343"	"ERP016051"	"RAG7"
